"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","year","LifeExpectancy"
"68","Estonia","EST","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",63.985
"69","Ethiopia","ETH","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",36.974
"70","European Union","EUU","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.68139341
"71","Fragile and conflict affected situations","FCS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.98023672
"72","Finland","FIN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.41
"73","Fiji","FJI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",53.978
"74","France","FRA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.6
"75","Faroe Islands","FRO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"76","Micronesia, Fed. Sts.","FSM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",57.05
"77","Gabon","GAB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",38.035
"78","United Kingdom","GBR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",68.2
"79","Georgia","GEO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",59.686
"80","Ghana","GHA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.53
"81","Guinea","GIN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",33.762
"82","Gambia, The","GMB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",30.851
"83","Guinea-Bissau","GNB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",36.338
"84","Equatorial Guinea","GNQ","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",35.255
"85","Greece","GRC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.9
